race,False,True,mental_illness_percentage
A,69,24,25.806451612903224
B,1114,184,14.175654853620955
H,745,157,17.405764966740577
N,64,14,17.94871794871795
O,37,11,22.916666666666664
W,1763,713,28.796445880452342
